Sno,rank,age,source,country_citizenship,net_worth
4,4,81,833,57,71300000000
6,6,77,754,36,54500000000
8,8,82,292,69,48300000000
9,8,77,292,69,48300000000
22,22,78,180,7,29200000000
25,24,60,487,8,27200000000
26,26,78,202,69,27000000000
27,26,82,202,69,27000000000
31,31,46,440,10,24900000000
34,34,60,446,29,21200000000
37,37,78,161,7,20500000000
38,38,52,282,69,20400000000
39,38,55,193,19,20400000000
40,40,60,292,69,20000000000
41,40,54,136,69,20000000000
44,44,66,122,19,18800000000
53,53,78,661,19,17000000000
56,56,67,731,24,16400000000
58,57,61,741,51,16100000000
62,62,73,296,64,15800000000
63,63,81,476,17,15700000000
70,69,66,635,22,15000000000
71,69,63,506,4,15000000000
72,72,72,708,24,14900000000
84,84,74,506,9,13700000000
93,92,54,754,17,13000000000
95,95,63,409,40,12600000000
96,96,77,450,69,12500000000
98,96,91,577,60,12500000000
103,102,72,708,24,12300000000
113,112,69,217,17,11800000000
114,112,66,217,17,11800000000
118,118,73,706,19,11200000000
122,120,200,706,19,11000000000
126,126,71,635,22,10500000000
128,128,59,635,10,10200000000
134,133,62,450,41,9500000000
137,137,74,706,69,9400000000
141,140,77,706,19,9000000000
144,140,36,635,10,9000000000
146,145,80,333,69,8900000000
147,145,67,653,27,8900000000
150,150,200,635,53,8700000000
151,151,52,189,61,8600000000
153,153,84,635,4,8500000000
154,154,47,255,10,8400000000
155,154,45,440,10,8400000000
156,156,69,731,51,8300000000
157,156,80,291,69,8300000000
158,158,67,150,69,8200000000
160,159,68,206,69,8100000000
162,159,50,446,17,8100000000
164,159,72,487,69,8100000000
170,170,75,544,69,7900000000
173,173,87,518,69,7800000000
179,179,64,268,19,7600000000
191,190,67,635,22,7300000000
195,194,73,607,69,7200000000
201,201,51,731,51,6900000000
214,209,70,124,10,6700000000
226,226,39,799,8,6300000000
227,226,61,542,51,6300000000
228,226,50,255,10,6300000000
230,226,41,798,69,6300000000
231,226,51,450,51,6300000000
232,226,66,542,17,6300000000
236,234,60,373,62,6200000000
239,239,84,608,69,6000000000
240,239,68,819,69,6000000000
241,239,49,674,56,6000000000
242,239,47,312,10,6000000000
247,247,70,635,22,5900000000
248,247,85,661,19,5900000000
252,250,54,181,36,5800000000
255,250,52,450,22,5800000000
259,250,200,202,28,5800000000
260,250,53,306,8,5800000000
264,261,48,607,69,5700000000
268,261,44,635,10,5700000000
270,269,76,635,10,5600000000
272,269,200,185,36,5600000000
278,269,56,259,15,5600000000
281,281,66,625,69,5500000000
282,281,74,292,60,5500000000
284,281,78,634,69,5500000000
286,281,200,292,24,5500000000
288,288,67,635,22,5400000000
289,288,75,520,24,5400000000
291,288,94,487,69,5400000000
298,294,73,729,69,5300000000
300,294,66,667,43,5300000000
302,294,76,249,69,5300000000
305,303,65,450,17,5200000000
322,315,68,748,57,5100000000
352,348,59,754,26,4700000000
359,359,51,736,66,4600000000
361,359,41,220,61,4600000000
364,359,66,106,10,4600000000
366,359,51,596,53,4600000000
389,385,74,237,19,4400000000
391,385,51,754,22,4400000000
392,385,81,635,29,4400000000
395,385,59,422,69,4400000000
407,402,56,205,69,4300000000
409,402,52,305,69,4300000000
412,402,64,406,19,4300000000
425,414,51,178,10,4200000000
427,427,200,146,67,4100000000
437,427,62,363,69,4100000000
438,427,86,635,24,4100000000
440,427,54,137,10,4100000000
443,441,50,219,17,4000000000
448,441,44,104,10,4000000000
455,441,87,250,69,4000000000
458,441,27,702,69,4000000000
461,460,68,205,69,3900000000
462,460,85,437,64,3900000000
468,460,91,774,62,3900000000
472,460,63,754,15,3900000000
473,460,75,630,19,3900000000
479,474,64,224,69,3800000000
494,474,61,487,7,3800000000
505,501,64,487,7,3700000000
516,501,70,523,69,3700000000
522,522,70,150,19,3600000000
527,522,63,387,69,3600000000
528,522,66,635,10,3600000000
535,522,73,590,69,3600000000
538,522,63,685,69,3600000000
549,544,63,237,19,3500000000
558,544,83,635,69,3500000000
562,544,73,271,24,3500000000
576,564,52,422,69,3400000000
586,581,69,556,69,3300000000
587,581,87,292,64,3300000000
591,581,79,419,57,3300000000
592,581,53,625,69,3300000000
594,581,50,394,43,3300000000
595,581,65,635,22,3300000000
600,581,55,561,10,3300000000
601,581,49,172,51,3300000000
610,603,71,201,69,3200000000
613,603,51,102,10,3200000000
617,603,71,170,7,3200000000
618,603,55,170,7,3200000000
620,603,61,170,7,3200000000
624,603,68,476,28,3200000000
629,603,52,635,10,3200000000
633,630,200,659,69,3100000000
639,630,64,348,51,3100000000
643,630,90,789,61,3100000000
645,630,63,520,24,3100000000
650,630,72,347,9,3100000000
659,630,60,280,10,3100000000
662,660,72,555,69,3000000000
664,660,61,220,68,3000000000
667,660,62,635,69,3000000000
668,660,63,635,69,3000000000
669,660,76,589,69,3000000000
675,660,85,301,19,3000000000
678,660,73,351,65,3000000000
684,660,73,793,69,3000000000
698,693,87,379,68,2900000000
706,693,60,813,69,2900000000
709,693,59,692,43,2900000000
711,693,67,800,69,2900000000
716,693,80,646,69,2900000000
720,717,61,340,69,2800000000
722,717,65,635,69,2800000000
725,717,66,640,10,2800000000
733,717,74,584,9,2800000000
736,717,86,762,69,2800000000
739,717,50,706,27,2800000000
741,717,61,493,69,2800000000
744,717,54,223,69,2800000000
745,745,58,292,24,2700000000
764,745,71,480,19,2700000000
765,745,54,153,10,2700000000
777,745,55,450,47,2700000000
780,745,69,774,10,2700000000
787,782,47,471,56,2600000000
794,782,98,450,69,2600000000
808,782,65,263,51,2600000000
809,782,54,450,43,2600000000
811,782,65,350,62,2600000000
814,814,80,635,69,2500000000
815,814,45,270,24,2500000000
816,814,66,450,60,2500000000
822,814,66,270,24,2500000000
826,814,50,750,10,2500000000
829,814,66,270,24,2500000000
830,814,73,450,69,2500000000
838,814,57,450,51,2500000000
843,814,66,823,69,2500000000
844,814,70,635,69,2500000000
845,814,79,635,69,2500000000
849,814,79,450,69,7E+11
850,814,68,625,69,2500000000
851,814,82,212,69,2500000000
858,814,60,448,69,2500000000
872,867,74,403,69,2400000000
874,867,68,329,24,2400000000
875,867,51,777,51,2400000000
877,867,67,579,53,2400000000
879,867,51,635,22,2400000000
881,867,54,500,51,2400000000
887,867,55,661,10,2400000000
888,867,94,644,69,2400000000
890,867,61,486,19,2400000000
892,867,54,292,68,2400000000
895,867,67,675,69,2400000000
898,896,200,635,22,2300000000
902,896,84,119,3,2300000000
904,896,73,161,69,2300000000
908,896,61,270,43,2300000000
917,896,62,292,68,2300000000
921,896,47,353,10,2300000000
922,896,71,489,64,2300000000
923,896,62,335,69,2300000000
928,896,83,340,22,2300000000
933,896,60,475,8,2300000000
934,896,73,596,10,2300000000
937,896,74,135,10,2300000000
941,939,74,518,69,2200000000
942,939,50,554,51,2200000000
945,939,77,355,28,2200000000
965,939,60,188,56,2200000000
970,939,67,426,10,2200000000
973,973,93,697,69,2100000000
976,973,42,220,61,2100000000
993,973,63,492,19,2100000000
994,973,64,447,4,2100000000
1002,973,82,582,35,2100000000
1006,973,54,509,57,2100000000
1009,973,71,186,69,2100000000
1010,973,60,138,10,2100000000
1014,973,32,396,60,2100000000
1018,973,50,635,60,2100000000
1023,973,82,158,10,2100000000
1028,973,50,640,10,2100000000
1033,1030,59,144,62,2000000000
1035,1030,67,350,26,2000000000
1040,1030,62,635,8,2000000000
1043,1030,67,693,7,2000000000
1044,1030,87,447,4,2000000000
1053,1030,200,371,19,2000000000
1061,1030,71,625,69,2000000000
1063,1030,63,661,68,2000000000
1064,1030,61,625,69,2000000000
1065,1030,50,270,19,2000000000
1069,1030,38,270,19,2000000000
1071,1030,45,802,69,2000000000
