Sno,rank,age,source,country_citizenship,net_worth
1,1,62,504,69,86000000000
2,2,87,182,69,75600000000
3,3,53,127,69,72800000000
5,5,33,335,69,56000000000
7,7,73,706,69,52200000000
10,10,75,191,69,47500000000
11,11,68,477,17,41500000000
12,12,44,393,69,40700000000
13,13,44,393,69,39800000000
14,14,95,474,17,39500000000
15,15,73,819,69,34100000000
16,16,69,819,69,34000000000
17,17,68,819,69,33800000000
18,18,63,635,10,31300000000
19,19,89,292,22,31200000000
20,20,84,208,69,30400000000
21,21,61,504,69,30000000000
23,23,53,306,10,28300000000
24,24,40,748,19,27200000000
28,28,79,537,69,26200000000
29,29,82,539,28,25200000000
30,29,87,408,69,25200000000
32,32,89,635,22,24400000000
33,33,60,594,24,23200000000
35,35,69,463,14,21100000000
36,36,53,154,19,20700000000
42,42,64,505,69,19900000000
43,43,70,396,60,19600000000
45,45,62,450,52,18700000000
46,46,62,389,51,18400000000
47,47,64,677,69,18300000000
48,47,51,192,19,18300000000
49,49,79,408,69,18000000000
50,50,82,334,28,17900000000
51,51,52,738,51,17500000000
52,52,46,560,10,17300000000
54,54,68,408,69,16800000000
55,55,81,450,69,16600000000
57,57,92,292,17,16100000000
59,59,65,554,51,16000000000
60,60,47,575,10,15900000000
61,60,68,340,29,15900000000
64,64,200,292,68,15400000000
65,65,74,451,68,15300000000
66,66,85,635,69,15200000000
67,66,64,740,51,15200000000
68,68,75,674,56,15100000000
69,69,200,635,22,15000000000
73,73,67,180,7,14800000000
74,74,67,542,51,14500000000
75,75,53,551,51,14400000000
76,75,55,518,69,14400000000
77,77,88,256,26,14300000000
78,77,56,499,51,14300000000
79,79,49,510,10,14000000000
80,80,46,765,69,13900000000
81,80,76,302,28,13900000000
82,82,64,506,36,13800000000
83,82,73,291,69,13800000000
85,84,62,596,24,13700000000
86,86,73,655,5,13400000000
87,87,71,543,69,13300000000
88,87,49,442,10,13300000000
89,89,45,235,51,13200000000
90,90,86,536,69,13100000000
91,90,76,195,19,13100000000
92,92,61,408,69,13000000000
94,94,93,292,46,12700000000
97,96,74,465,69,12500000000
99,96,69,180,7,12500000000
100,100,80,690,19,12400000000
101,100,60,501,51,12400000000
102,102,75,411,10,12300000000
104,102,72,686,29,12300000000
105,105,60,216,42,12200000000
106,105,53,165,13,12200000000
107,105,69,487,69,12200000000
108,105,67,487,69,12200000000
109,109,88,208,22,12100000000
110,109,88,487,69,12100000000
111,109,90,487,69,12100000000
112,112,70,450,69,11800000000
115,115,94,581,35,11400000000
116,116,47,219,17,11300000000
117,116,31,819,69,11300000000
119,119,62,393,69,11100000000
120,120,84,161,11,11000000000
121,120,60,408,69,11000000000
123,123,86,506,36,10800000000
124,124,33,335,69,10700000000
125,125,200,651,67,10600000000
127,127,64,175,69,10400000000
129,128,77,415,69,10200000000
130,130,82,345,19,10000000000
131,131,72,690,12,9900000000
132,132,78,292,64,9700000000
133,133,50,242,24,9500000000
135,133,74,596,28,9500000000
136,133,77,661,8,9500000000
138,138,56,551,51,9300000000
139,139,51,738,51,9100000000
140,140,76,174,25,9000000000
142,140,41,825,69,9000000000
143,140,64,220,68,9000000000
145,145,78,174,25,8900000000
148,145,52,450,51,8900000000
149,149,79,402,69,8800000000
152,151,65,596,69,8600000000
159,159,71,552,52,8100000000
161,159,60,487,69,8100000000
163,159,76,807,24,8100000000
165,159,75,487,69,8100000000
166,166,49,408,69,8000000000
167,166,78,610,69,8000000000
168,166,58,161,24,8000000000
169,166,50,305,69,8000000000
171,170,61,408,69,7900000000
